day	hour	value
1	1	55.9
1	2	53.6
1	3	54.4
1	4	51.3
1	5	50.9
1	6	54.7
1	7	63.4
1	8	66.6
1	9	67.4
1	10	68.2
1	11	68.1
1	12	68.1
1	13	68.4
1	14	68.5
1	15	69.4
1	16	67.6
1	17	68.1
1	18	67.5
1	19	66.0
1	20	65.1
1	21	63.2
1	22	63.0
1	23	61.7
1	24	60.5
2	1	58.2
2	2	56.0
2	3	55.4
2	4	53.7
2	5	56.1
2	6	59.5
2	7	63.2
2	8	66.7
2	9	69.0
2	10	69.4
2	11	70.6
2	12	68.1
2	13	68.4
2	14	68.9
2	15	70.2
2	16	70.3
2	17	71.7
2	18	68.7
2	19	67.8
2	20	64.8
2	21	63.1
2	22	64.1
2	23	64.2
2	24	65.8
3	1	63.7
3	2	63.4
3	3	61.2
3	4	59.4
3	5	58.1
3	6	56.4
3	7	61.4
3	8	64.7
3	9	65.7
3	10	66.0
3	11	67.1
3	12	66.5
3	13	67.2
3	14	71.8
3	15	67.4
3	16	66.5
3	17	67.2
3	18	66.9
3	19	66.5
3	20	65.0
3	21	63.3
3	22	63.9
3	23	64.2
3	24	65.3
4	1	63.8
4	2	63.4
4	3	62.1
4	4	61.2
4	5	60.5
4	6	58.0
4	7	56.6
4	8	56.8
4	9	59.2
4	10	59.9
4	11	63.0
4	12	64.4
4	13	64.0
4	14	64.8
4	15	64.4
4	16	67.6
4	17	63.3
4	18	63.7
4	19	61.3
4	20	61.5
4	21	62.2
4	22	62.4
4	23	64.7
4	24	65.5
5	1	64.6
5	2	63.1
5	3	61.2
5	4	62.2
5	5	60.3
5	6	59.6
5	7	60.3
5	8	61.4
5	9	60.7
5	10	61.7
5	11	63.9
5	12	63.8
5	13	64.3
5	14	65.9
5	15	65.2
5	16	64.8
5	17	64.7
5	18	65.5
5	19	64.0
5	20	61.2
5	21	61.5
5	22	62.8
5	23	60.8
5	24	57.8
6	1	54.9
6	2	51.2
6	3	50.8
6	4	51.2
6	5	50.2
6	6	54.8
6	7	62.9
6	8	67.7
6	9	67.6
6	10	68.5
6	11	68.1
6	12	69.6
6	13	68.6
6	14	68.4
6	15	68.3
6	16	68.4
6	17	67.5
6	18	67.9
6	19	66.5
6	20	64.5
6	21	63.1
6	22	61.3
6	23	60.5
6	24	58.2
7	1	55.0
7	2	53.3
7	3	52.8
7	4	52.9
7	5	52.3
7	6	54.7
7	7	64.4
7	8	66.8
7	9	67.8
7	10	67.8
7	11	68.6
7	12	68.2
7	13	68.6
7	14	68.2
7	15	68.2
7	16	67.8
7	17	67.5
7	18	68.6
7	19	66.7
7	20	64.8
7	21	64.4
7	22	61.8
7	23	66.9
7	24	57.6